name,name_fr,name_en,name_ar,description,parent_name,parent_id,id
الاسنثمارات المباشرة ,,,#REF!,,نفقات التنمية ,32,1
التمويل العمومي,,,,,نفقات التنمية ,32,2
التأجير العمومي,,,,,نفقات التصرف,31,3
التدخل العمومي,,,,,نفقات التصرف,31,4
وسائل المصالح,,,,,نفقات التصرف,31,5
الصندوق الوطني للتشغيل ,,,,,صناديق الخزينة ,24,6
حساب الضمان التعاوني للمحاسبين العموميين,,,,,صناديق الخزينة ,24,7
صندوق التعاون بين الجماعات المحلية,,,,,صناديق الخزينة ,24,8
صندوق الحماية المدنية و سلامة الجولان بالطرقات ,,,,,صناديق الخزينة ,24,9
صندوق النهوض بالتكوين و التدريب,,,,,صناديق الخزينة ,24,10
صندوق الوقاية من حوادث المرور,,,,,صناديق الخزينة ,24,11
صندوق دعم تحديد الرصيد العقاري ,,,,,صناديق الخزينة ,24,12
صندوق سلامة البيئة وجمالية المحيط,,,,,صناديق الخزينة ,24,13
صندوق ضمان ضحايا حوادث المرور,,,,,صناديق الخزينة ,24,14
صندوق مقاومة التلوث,,,,,صناديق الخزينة ,24,15
على الموارد الخارجية الموظفة,,,,,التمويل العمومي,2,16
على الموارد العامة للميزانية,,,,,التمويل العمومي,2,17
مشاريع بصدد الانجاز ,,,,,التمويل العمومي,2,18
مشاريع جديدة ,,,,,التمويل العمومي,2,19
على الموارد الخارجية الموظفة (ا م),,,,,الاسنثمارات المباشرة ,1,20
على الموارد العامة للميزانية (ا م),,,,,الاسنثمارات المباشرة ,1,21
مشاريع بصدد الانجاز (ا م),,,,,الاسنثمارات المباشرة ,1,22
مشاريع جديدة (ا م),,,,,الاسنثمارات المباشرة ,1,23
صناديق الخزينة ,,,,,,,24
صندوق التشجيع على الابداع الفني و الأدبي ,,,,,,,25
صندوق الخدمة الوطنية ,,,,,,,26
صندوق النهوض بالمسكن لفائدة الاجراء  ,,,,,,,27
صندوق الوطني لتحسين السكن ,,,,,,,28
ميزانية الدولة,,,,,,,29
ميزانية الوزارة,,,,,ميزانية الدولة,29,30
نفقات التصرف,Frais de gestion,,,,,,31
نفقات التنمية ,,,,,,,32
نفقات التنمیة المرتبطة بالموارد الخارجیة الموظفة,,,,,نفقات التنمية ,32,33
نفقات الانتخابات ,,,,,نفقات التصرف,31,34
صندوق النهوض بالصادرات ,,,,,صناديق الخزينة ,24,35
الصندوق الوطني للتضامان الاجتماعي,,,,,صناديق الخزينة ,24,36
صندوق تنمية القدرة التنافسية في القطاع الفلاحي و الصيد البحري,,,صندوق تنمية القدرة التنافسية في القطاع الفلاحي و الصيد البحري,,,,37
صندوق النهوض بجودة التمور ,,,,,,,38
صندوق تمويل الراحة البيولوجية في قطاع الصيد البحري ,,,,,,,39
نفقات طارئة و غير موزعة,,,,,,,40
نفقات طارئة و غير موزعة : تصرف,,,,,نفقات طارئة و غير موزعة,40,41
نفقات طارئة و غير موزعة : تنمية,,,,,نفقات طارئة و غير موزعة,40,42
الدين العمومي,,,,,ميزانية الدولة,29,43
فوائد الدين العمومي ,,,,,الدين العمومي,43,44
تسديد أصل الدين ,,,,,الدين العمومي,43,45
صندوق تنمية الطرقات السيارة ,,,,,صناديق الخزينة ,24,46
صندوق النهوض بالرياضة و الشباب,,,,,صناديق الخزينة ,24,47
صندوق حماية المناطق السياحية,,,,,صناديق الخزينة ,24,48
صندوق تنمية القدرة التنافسية في القطاع السياحي,,,,,صناديق الخزينة ,24,49
حساب استعمال مصاريف المراقبة و مكافاة الحضور و أقساط الأرباح الراجعة للدولة ,,,,,صناديق الخزينة ,24,50
صندوق تنمية قطاع المواصلات,,,,,صناديق الخزينة ,24,51